num,info
19,"Dr. med. Udo Polzer, Gregor Werner<br>Aslepios Fachklinikum Stadtroda<br>Klinik für Neurologie, Gerontopsychiatrie, Schmerztherapie und Schlafmedizin<br>Schlaflabor<br>Bahnhofstr.1a<br>07646 Stadtroda<br><br>Telefon: (036428)561387 od -561377<br>Fax: (036428)56-1279<br>E-Mail: <a href=""mailto:u.polzer@asklepios.com   "">u.polzer@asklepios.com   </a><br>Internet: <a href=""http://www.asklepios.com/stadtroda"">www.asklepios.com/stadtroda</a><br>"
20,"Prof. Dr. med. James Beck, Dr. med. Claus Doerfel<br>Friedrich Schiller Universität Jena<br>Klinik für Kinder- und Jugendmedizin<br>Pädiatrisches Schlaflabor<br>Kochstr. 2<br>07747 Jena<br><br>Telefon: (0 36 41) 938 291<br>Fax: (0 36 41)938 209<br>E-Mail: <a href=""mailto:kinderschlaflabor@med.uni-jena.de"">kinderschlaflabor@med.uni-jena.de</a><br>Internet: <a href=""http://www.kinderklinik.uniklinikum-jena.de/UGFlZGlhdHJpc2NoZXMgU2NobGFmbGFib3I%3D.html"">www.kinderklinik.uniklinikum-jena.de/UGFlZGlhdHJpc2NoZXMgU2NobGFmbGFib3I%3D.html</a><br>"
21,"Prof. Dr.  Otto Witte, Prof. Dr. Matthias Schwab<br>Universitätsklinikum Jena<br>Hans-Berger-Klinik für Neurologie<br>Schlaflabor<br>Erlanger Allee 101<br>07747 Jena<br><br>Telefon: (03641) 9323 448<br>E-Mail: <a href=""mailto:schlaflabor@med.uni-jena.de"">schlaflabor@med.uni-jena.de</a><br>Internet: <a href=""http://www.neuro.uniklinikum-jena.de"">www.neuro.uniklinikum-jena.de</a><br>"
22,"Dr. med. Beate Faust-Herzog <br>Schlafmedizinisches Zentrum am<br>Klinikum Obergöltzsch<br>Stiftstr. 10<br>08228 Rodewisch<br><br>Telefon: (03744) 3613175<br>Fax: -3744<br>E-Mail: <a href=""mailto:b.faust-herzog@klinikum-obergoeltzsch.de"">b.faust-herzog@klinikum-obergoeltzsch.de</a><br>Internet: <a href=""http://www.klinikum-obergoeltzsch.de"">www.klinikum-obergoeltzsch.de</a><br>"
23,"Dr. med. Olaf Stiller <br>HELIOS Klinikum Aue<br>Schlaflabor<br>Gartenstr. 6<br>08280 Aue<br><br>Telefon: (03771) 58-39 13<br>Fax: (03771) 58-18 64<br>E-Mail: <a href=""mailto:postmaster@aue.helios-kliniken.de"">postmaster@aue.helios-kliniken.de</a><br>Internet: <a href=""http://www.helios-kliniken.de"">www.helios-kliniken.de</a><br>"
24,"Dr. med. Margitta Wurlitzer, Prof. Dr.  Thomas Podszus<br>Kliniken Erlabrunn gGmbH<br>Klinik für Innere Medizin<br>Funktionsabteilung - Schlaflabor<br>Am Märzenberg 1 A<br>08359 Breitenbrunn OT Erlabrunn<br><br>Telefon: (0 37 73) 6 29 10<br>Fax: (0 37 73) 6 29 29<br>E-Mail: <a href=""mailto:schlaflabor@erlabrunn.de"">schlaflabor@erlabrunn.de</a><br>Internet: <a href=""http://www.erlabrunn.de"">www.erlabrunn.de</a><br>"
25,"Dr. med. Daniel Kügler, Dr. med. Margret Schwager<br>Klinikum Rudolf Virchow gGmbH Glauchau<br>Klinik für Innere Medizin II<br>Schlaflabor<br>Virchowstr. 18<br>08371 Glauchau<br><br>Telefon: (03763) 43-1653<br>Fax: (03763) 43-2510<br>E-Mail: <a href=""mailto:innere@kkh-glauchau.de"">innere@kkh-glauchau.de</a><br>Internet: <a href=""http://www.kkh-glauchau.de"">www.kkh-glauchau.de</a><br>"
26,"Dr. med. Hans Neuser, Dr. med.  Frank Richter<br>HELIOS Vogtland-Klinikum Plauen<br>Klinik für Innere Medizin II<br>Schlaflabor<br>Röntgenstr.2<br>08529 Plauen<br><br>Telefon: (03741) 49-34 31, 49-39 00 (Schlaflabor)<br>Fax: (03741) 49-34 32, 49-39 01<br>E-Mail: <a href=""mailto:hans.neuser@helios-kliniken.de"">hans.neuser@helios-kliniken.de</a><br>"
27,"Prof. Dr. med.  Stefan Hammerschmidt, Dipl. Ing.  Beate Horn<br>Klinikum Chemnitz gGmbH<br>Gesellschaft für ambulante Schlafmedizin am Klinikum Chemnitz mbH<br>Pulmologie, Neurologie, Psychiatrie, Pädiatrie<br>Bürgerstr. 2<br>09113 Chemnitz<br><br>Telefon: (03 71) 3 33-4 20 40<br>Fax: (03 71) 3 33-4 20 41<br>E-Mail: <a href=""mailto:schlaf@schlaflabor-chemnitz.de"">schlaf@schlaflabor-chemnitz.de</a><br>Internet: <a href=""http://www.schlaflabor-chemnitz.de"">www.schlaflabor-chemnitz.de</a><br>"
28,"Dr. med. Lothar Griesbach <br>Kreiskrankenhaus Stollberg gGmbH <br>Zentrum für Schlafmedizin und Beatmungstherapie<br>Westsachsen Stollberg/Plauen<br>Jahnsdorfer Str. 7<br>09366 Stollberg<br><br>Telefon: (03 72 96) 53-5 81/-4 89<br>Fax: (03 72 96) 53-5 86<br>E-Mail: <a href=""mailto:schlaflabor@kkh-stl.de"">schlaflabor@kkh-stl.de</a><br>Internet: <a href=""http://www.kkh-stl.de"">www.kkh-stl.de</a><br>"
29,"Dr. Dieter Kunz <br>St. Hedwig Krankenhaus<br>Charité - Institut für Physiologie<br>Abt. für Schlafmedizin<br>Große Hamburger Str. 5-11<br>10115 Berlin<br><br>Telefon: (030) 23112902<br>Fax: (030) 23112903<br>E-Mail: <a href=""mailto:s.duemchen@alexius.de"">s.duemchen@alexius.de</a><br>Internet: <a href=""http://www.schlafmedizin-berlin.de"">www.schlafmedizin-berlin.de</a><br>"
30,"Prof. Dr. med.  Ingo Fietze <br>Charité-Universitätsmedizin Berlin, CCM-CC11<br>Interdisziplinäres Schlafmedizinisches Zentrum<br>Charitéplatz 1<br>10117 Berlin<br><br>Telefon: (030) 450 513 120<br>Fax: (030) 450 513 906<br>E-Mail: <a href=""mailto:schlaf.labor@charite.de"">schlaf.labor@charite.de</a><br>Internet: <a href=""http://schlafmedizin.charite.de"">schlafmedizin.charite.de</a><br>"
31,"PD Dr. med. V. Stephan, Dr. med. Annmarie Kramer<br>Sana Klinikum Lichtenberg<br>Klinik für Kinder- und Jugendmedizin <br>Schlaflabor<br>Fanningerstr. 32<br>10365 Berlin<br><br>Telefon: (0 30) 55 18-50 54<br>Fax: (0 30) 55 18-5266<br>E-Mail: <a href=""mailto:a.kramer@sana-kl.de"">a.kramer@sana-kl.de</a><br>Internet: <a href=""http://www.sana-kl.de"">www.sana-kl.de</a><br>"
32,"Dr. med. Harald Müller-Pawlowski <br>Pneumologen-Lichterfelde<br>Schlaflabor<br>Paderborner Str. 2/2a<br>10709 Berlin<br><br>Telefon: 030 843706-0<br>Fax: 030 833 9242<br>E-Mail: <a href=""mailto:info@pneumologen-berlin.de"">info@pneumologen-berlin.de</a><br>Internet: <a href=""http://www.pneumologen-berlin.de"">www.pneumologen-berlin.de</a><br>"
33,"Prof. Dr. rer. nat.  Heidi Danker-Hopfe,  Dr. rer. nat. Dr. med. Steffen Richter<br>Charité / Campus Benjamin Franklin<br>Kompetenzzentrum Schlafmedizin des CC15<br>Hindenburgdamm 30<br>12200 Berlin<br><br>Telefon: (0 30) 450 517 577<br>Fax: (0 30) 450 517 941<br>E-Mail: <a href=""mailto:heidi.danker-hopfe@charite.de"">heidi.danker-hopfe@charite.de</a><br>Internet: <a href=""http://www.kompetenzzentrum-schlafmedizin.de"">www.kompetenzzentrum-schlafmedizin.de</a><br>"
34,"Prof. Dr. med.  Wulf Pankow, Dr. med. Achim Lies<br>Vivantes-Klinikum Neukölln<br>Klinik für Innere Medizin - Pneumologie / Schlaflabor<br>Rudower Str. 48<br>12351 Berlin<br><br>Telefon: (0 30)130142031<br>Fax: (0 30) 130143230<br>E-Mail: <a href=""mailto:knk.pneumologie@vivantes.de"">knk.pneumologie@vivantes.de</a><br>Internet: <a href=""http://www.vivantes.de"">www.vivantes.de</a><br>"
35,"Dr. med. Ralf Warmuth <br>Zentrum für Schlafmedizin<br>Elsterwerdaer Platz 1<br>12683 Berlin<br><br>Telefon: (0 30) 232 54 320<br>Fax: (0 30) 232 54 329<br>E-Mail: <a href=""mailto:praxis@schlafdoktor.de"">praxis@schlafdoktor.de</a><br>Internet: <a href=""http://www.schlafdoktor.de"">www.schlafdoktor.de</a><br>"
36,"Prof. Dr.  Christian Grohé, Dr. med. Barbara C. Wiesner<br>Evangelische Lungenklinik Berlin<br>Pneumologische Klinik<br>Zentrum für Beatmungs- und Schlafmedizin<br>Lindenberger Weg 27<br>13125 Berlin<br><br>Telefon: (0 30) 9 48 02-564 od. -0<br>Fax: (0 30) 9 48 02-290<br>E-Mail: <a href=""mailto:sekr.pneumologie@elk-berlin.de"">sekr.pneumologie@elk-berlin.de</a><br>Internet: <a href=""http://www.elk-berlin.de"">www.elk-berlin.de</a><br>"
37,"Prof. Dr. med. Marc Bloching, Dr. med.  Andreas Eckert<br>Helios Klinikum Berlin-Buch<br>Interdisziplinäres Schlaflabor<br>Schwanebecker Chausse 50<br>13125 Berlin<br><br>Telefon: (030) 9401-54100<br>Fax: (030) 9401-54109<br>E-Mail: <a href=""mailto:schlafmedizin.berlin-buch@helios-kliniken.de"">schlafmedizin.berlin-buch@helios-kliniken.de</a><br>"
38,"PD Dr. Bernd Schmidt, Dr. med. Philipp Meissner<br>DRK Kliniken Berlin / Mitte<br>Medizinische Klinik I<br>Pneumologisches und Schlafmedizinisches Zentrum<br>Drontheimer Str. 39-40<br>13359 Berlin<br><br>Telefon: (0 30) 30 35--63 05<br>Fax: (0 30) 30 35-63 09<br>E-Mail: <a href=""mailto:pneumologie@drk-kliniken-berlin.de"">pneumologie@drk-kliniken-berlin.de</a><br>Internet: <a href=""http://www.drk-kliniken-bln.de"">www.drk-kliniken-bln.de</a><br>"
39,"Prof. Dr. med.  Torsten Bauer, Dr. med. Peter Zierach<br>HELIOS Klinikum Emil von Behring<br>Lungenklinik Heckeshorn<br>Klinik für Pneumologie - Schlaflabor<br>Walterhöferstraße 11<br>14165 Berlin<br><br>Telefon: (0 30) 81 02-2776<br>Fax: (0 30) 8102-2778<br>E-Mail: <a href=""mailto:pneumologie-berlin@helios-kliniken.de"">pneumologie-berlin@helios-kliniken.de</a><br>Internet: <a href=""http://www.helios-kliniken.de"">www.helios-kliniken.de</a><br>"
40,"CA  Norbert Dahlinger, Dr. med. Karsten Klementz<br>Havelland-Kliniken Nauen<br>Kinderschlaflabor<br>Ketziner Str. 21<br>14642 Nauen<br><br>Telefon: (03321) 42-1150<br>Fax: (03321) 42-151061<br>E-Mail: <a href=""mailto:karsten.Klementz@havelland-kliniken.de"">karsten.Klementz@havelland-kliniken.de</a><br>Internet: <a href=""http://www.havelland-Kliniken.de"">www.havelland-Kliniken.de</a><br>"
41,"Dr. med. Rainer Krügel, Dr. med. Birgit Becke<br>Johanniter-Krankenhaus im Fläming gGmbH<br>Fachklinik für Pneumologie<br>Schlaflabor<br>Johanniterstr. 1<br>14929 Treuenbrietzen<br><br>Telefon: (03 37 48) 8-22 80<br>Fax: (03 37 48) 8-23 11<br>E-Mail: <a href=""mailto:becke@johanniter-treuenbrietzen.de"">becke@johanniter-treuenbrietzen.de</a><br>"
42,"PD Dr. med. Christoph Grüber, Dr. med. Arne Cord Brandes<br>Klinikum Frankfurt (Oder) GmbH<br>Interdisziplinäres Schlafmedizinisches Zentrum<br>Müllroser Chaussee 7<br>15236 Frankfurt/Oder<br><br>Telefon: (0335) 548-2884<br>Fax: (0335/548-2862<br>E-Mail: <a href=""mailto:schlaflabor@klinikumffo.de"">schlaflabor@klinikumffo.de</a><br>Internet: <a href=""http://www.klinikumffo.de"">www.klinikumffo.de</a><br>"
43,"Dr. med. Christian Jenssen, Dr. med. Frank Petri<br>Krankenhaus MärkischOderland<br>Betriebsteil Strausberg<br>Schlaflabor<br>Prötzeler Chaussee 5<br>15344 Strausberg<br><br>Telefon: (03341) 52701<br>Fax: (03341) 52704<br>E-Mail: <a href=""mailto:beatmungszentrum@khmol.de"">beatmungszentrum@khmol.de</a><br>Internet: <a href=""http://www.krankenhaus-mol.de"">www.krankenhaus-mol.de</a><br>"
44,"Dr. med. Albert Grüger, Dr. med. Ulrike Meier-Lieberoth<br>Martin Gropius Krankenhaus GmbH<br>Neurologische Klinik<br>Fachbereich Schlafmedizin<br>Oderberger Str. 8<br>16225 Eberswalde<br><br>Telefon: (0 33 34) 53-7 49<br>Fax: (0 33 34) 53-3 65<br>E-Mail: <a href=""mailto:ml.psych2@mgkh.de"">ml.psych2@mgkh.de</a><br>Internet: <a href=""http://www.mgkh.de"">www.mgkh.de</a><br>"
45,"Dr. med. Susanne Pelzer <br>Sana Kliniken Sommerfeld<br>Rehabilitationsklinik für Pneumologie<br>Schlafmedizinisches Zentrum<br>Waldhausstr. 44<br>16766 Kremmen OT Sommerfeld<br><br>Telefon: (03 30 55) 5-20 01<br>Fax: (03 30 55) 5-20 03<br>E-Mail: <a href=""mailto:s.pelzer@sana-hu.de"">s.pelzer@sana-hu.de</a><br>Internet: <a href=""http://www.sana-hu.de"">www.sana-hu.de</a><br>"
46,"Dr. med. Hans-Harald Wahn, Dr. med. Dirk Schmid<br>Dietrich Bonhoeffer Klinikum Neubrandenburg<br>Klinik für Innere Medizin II<br>Abt. Pulmologie, Station K 02b / Schlaflabor<br>Dr.-S.-Allende-Str. 30<br>17036 Neubrandenburg<br><br>Telefon: (03 95) 7 75-43 32<br>Fax: (03 95) 7 75-43 07<br>E-Mail: <a href=""mailto:SchmidD@dbknb.de"">SchmidD@dbknb.de</a><br>Internet: <a href=""http://www.dbk-nb.de"">www.dbk-nb.de</a><br>"
47,"Dr. med. Sven Armbrust, Peggy Hanff<br>Dietrich Bonhoeffer Klinikum Neubrandenburg<br>Klinik für Kinder- und Jugendmedizin<br>Interdisziplinäres Schlaflabor/ Kinderschlaflabor<br>Dr.-Salvador-Allende-Str. 30<br>17036 Neubrandenburg<br><br>Telefon: (03 95) 7 75-29 18<br>Fax: (03 95) 7 75-29 03<br>E-Mail: <a href=""mailto:HanffP@dbknb.de"">HanffP@dbknb.de</a><br>Internet: <a href=""http://www.dbk-nb.de"">www.dbk-nb.de</a><br>"
48,"Dr. med. Attila Ferenci <br>Klinik Amsee GmbH<br>Lungenklinik<br>Schlafmedizinisches Labor<br>Amsee 6<br>17192 Waren/Müritz<br><br>Telefon: (0 39 91) 1 58-115<br>Fax: (0 39 91) 1 58-133<br>E-Mail: <a href=""mailto:atila.ferenczi@pgdiakonie.de"">atila.ferenczi@pgdiakonie.de</a><br>Internet: <a href=""http://www.pgdiakonie.de/klinik-amsee/"">www.pgdiakonie.de/klinik-amsee/</a><br>"
49,"Dr. med. Antje Vogler <br>Asklepios Klinik Pasewalk<br>Klinik für Pädiatrie<br>Schlaflabor<br>Prenzlauer Chaussee 30<br>17309 Pasewalk<br><br>Telefon: (0 39 73) 23 19 33<br>Fax: (0 39 73) 23 11 27<br>Internet: <a href=""http://www.asklepios.com/pasewalk"">www.asklepios.com/pasewalk</a><br>"
50,"Prof. Dr. med. habil.  Werner Hosemann, Dr. med. Thomas Bremert<br>Universitätsmedizin Greifswald, KöR<br>Klinik und Poliklinik für HNO-Krankheiten / Schlaflabor<br>Walther-Rathenau-Str. 43-45<br>17475 Greifswald<br><br>Telefon: (0 38 34) 86 62 23<br>Fax: (0 38 34) 86 62 24<br>E-Mail: <a href=""mailto:bremert@uni-greifswald.de"">bremert@uni-greifswald.de</a><br>Internet: <a href=""http://www.klinikum.uni-greifswald.de"">www.klinikum.uni-greifswald.de</a><br>"
51,"Dr. med. Dirk M. Olbertz <br>Klinikum Südstadt Rostock<br>Abteilung Neonatologie und Neonatologische Intensivmedizin<br>Kinderschlaflabor<br>Südring 81<br>18059 Rostock<br><br>Telefon: (03 81) 44 01-55 00<br>Fax: (03 81) 44 01-55 99<br>E-Mail: <a href=""mailto:neonatologie@kliniksued-rostock.de"">neonatologie@kliniksued-rostock.de</a><br>Internet: <a href=""http://www.kliniksued-rostock.de"">www.kliniksued-rostock.de</a><br>"
52,"Dr. med.  Schlicht, Dr. med. Gunther Karnitzki<br>Interdisziplinäres Schlaflabor<br>der Bodden-Kliniken Ribnitz-Damgarten GmbH<br>Sandhufe 2<br>18311 Ribnitz-Damgarten<br><br>Telefon: (03821) 700529<br>Fax: (0381) 700590<br>E-Mail: <a href=""mailto:info@bodden-kliniken.de"">info@bodden-kliniken.de</a><br>Internet: <a href=""http://www.bodden-kliniken.de"">www.bodden-kliniken.de</a><br>"
53,"Dr. med.  Manfred Müller, Dr. med. Maren Günther<br>HANSE-Klinikum Stralsund GmbH<br>Klinik für Kinder - und Jugendmedizin<br>Schlaflabor<br>Große Parower Str. 47-53<br>18435 Stralsund<br><br>Telefon: (0 38 31) 35-24 50<br>Fax: (0 38 31) 35 24 55<br>E-Mail: <a href=""mailto:manfred.mueller@helios-kliniken.de"">manfred.mueller@helios-kliniken.de</a><br>Internet: <a href=""http://www.klinikum-stralsund.de"">www.klinikum-stralsund.de</a><br>"
54,"Dr. med. Maren Günther <br>HELIOS Hanseklinikum Stralsund<br>Interdisziplinäres Schlaflabor<br>Pulmologie - Neurologie - HNO<br>Große Parower Str. 47-53<br>18435 Stralsund<br><br>Telefon: (0 38 31) 35-24 00<br>Fax: (0 38 31) 35 24 05<br>E-Mail: <a href=""mailto:maren.guenther2@helios-kliniken.de"">maren.guenther2@helios-kliniken.de</a><br>Internet: <a href=""http://www.helios-kliniken.de/stralsund"">www.helios-kliniken.de/stralsund</a><br>"
55,"Dr. med. Wolfram Grüning, Dr. med. André Barleben<br>HELIOS Kliniken Schwerin<br>Klinik für Pneumologie<br>Schlaflabor<br>Wismarsche Str. 393-397<br>19049 Schwerin<br><br>Telefon: (03 85) 5 20-34 92<br>Fax: (03 85) 5 20-34 91<br>E-Mail: <a href=""mailto:ruediger.karwath@helios-kliniken.de"">ruediger.karwath@helios-kliniken.de</a><br>Internet: <a href=""http://www.helios-kliniken.de"">www.helios-kliniken.de</a><br>"
56,"Dr. med. Olaf Kannt <br>HELIOS Kliniken Schwerin<br>Klinik für Kinder- und Jugendmedizin<br>Kinderschlaflabor<br>Wismarsche Str. 393-397<br>19049 Schwerin<br><br>Telefon: (03 85) 5 20-26 87<br>Fax: (03 85) 5 20-26 76<br>E-Mail: <a href=""mailto:olaf.kannt@helios-kliniken.de"">olaf.kannt@helios-kliniken.de</a><br>Internet: <a href=""http://www.helios-kliniken.de/schwerin"">www.helios-kliniken.de/schwerin</a><br>"
